CENTRAL POLLUTION CONTROL BOARD,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,
"Date: Thursday, Apr 08 2021",,,,,,,,
Time: 04:23:17 PM,,,,,,,,
State,Delhi,,,,,,,
City,Delhi,,,,,,,
Station,"R K Puram, Delhi - DPCC",,,,,,,
Parameter,"PM2.5,PM10",,,,,,,
AvgPeriod,24 Hours,,,,,,,
From,01-01-2015T00:00:00Z 00:00,,,,,,,
To,01-01-2016T00:00:59Z 00:00,,,,,,,
,,,,,,,,
"R K Puram, Delhi - DPCC",,,,,,,,
Prescribed Standards, ,0-60,0-100,,,,,
Exceeding Standards, ,NA,NA,,,,,
Remarks,,,,,,,,
From Date,To Date,PM2.5,PM10,,,,,
20-09-2015 00:00,21-09-2015 00:00,56.12,103.47,,,,,
21-09-2015 00:00,22-09-2015 00:00,36.06,67.6,,,,,
22-09-2015 00:00,23-09-2015 00:00,27.9,65.83,,,,,
23-09-2015 00:00,24-09-2015 00:00,28.46,59.27,,,,,
24-09-2015 00:00,25-09-2015 00:00,59.13,154.46,,,,,
25-09-2015 00:00,26-09-2015 00:00,72.72,193.94,,,,,
26-09-2015 00:00,27-09-2015 00:00,84.17,212.55,,,,,
27-09-2015 00:00,28-09-2015 00:00,86.32,202.74,,,,,
28-09-2015 00:00,29-09-2015 00:00,67.1,164.08,,,,,
29-09-2015 00:00,30-09-2015 00:00,64.79,151.13,,,,,
30-09-2015 00:00,01-10-2015 00:00,49.1,133.71,,,,,
01-10-2015 00:00,02-10-2015 00:00,78.11,188.41,,,,,
02-10-2015 00:00,03-10-2015 00:00,87.61,183.77,,,,,
03-10-2015 00:00,04-10-2015 00:00,102.81,268.48,,,,,
04-10-2015 00:00,05-10-2015 00:00,121.71,273.53,,,,,
05-10-2015 00:00,06-10-2015 00:00,132.88,316.66,,,,,
06-10-2015 00:00,07-10-2015 00:00,121.76,279.65,,,,,
07-10-2015 00:00,08-10-2015 00:00,146.11,260.42,,,,,
08-10-2015 00:00,09-10-2015 00:00,119.43,282.96,,,,,
09-10-2015 00:00,10-10-2015 00:00,115.22,319.14,,,,,
10-10-2015 00:00,11-10-2015 00:00,109.35,309.65,,,,,
11-10-2015 00:00,12-10-2015 00:00,87.39,246.09,,,,,
12-10-2015 00:00,13-10-2015 00:00,98.53,248.88,,,,,
13-10-2015 00:00,14-10-2015 00:00,105.24,234.21,,,,,
14-10-2015 00:00,15-10-2015 00:00,86.44,179.9,,,,,
15-10-2015 00:00,16-10-2015 00:00,104.67,222.33,,,,,
16-10-2015 00:00,17-10-2015 00:00,129.62,245.6,,,,,
17-10-2015 00:00,18-10-2015 00:00,None,None,,,,,
18-10-2015 00:00,19-10-2015 00:00,171.95,323.48,,,,,
19-10-2015 00:00,20-10-2015 00:00,170.98,313.93,,,,,
20-10-2015 00:00,21-10-2015 00:00,176.33,331.38,,,,,
21-10-2015 00:00,22-10-2015 00:00,189.23,331.6,,,,,
22-10-2015 00:00,23-10-2015 00:00,153.94,None,,,,,
23-10-2015 00:00,24-10-2015 00:00,158.04,346.94,,,,,
24-10-2015 00:00,25-10-2015 00:00,180.07,364.03,,,,,
25-10-2015 00:00,26-10-2015 00:00,143.69,291.26,,,,,
26-10-2015 00:00,27-10-2015 00:00,109.16,261.64,,,,,
27-10-2015 00:00,28-10-2015 00:00,114.5,232.12,,,,,
28-10-2015 00:00,29-10-2015 00:00,96.04,245.74,,,,,
29-10-2015 00:00,30-10-2015 00:00,91.28,219.39,,,,,
